Company,Market segment,Department / purpose,Email address(es),Phone / other direct contact,Region,Notes,Confidence,Source label,Source URL,Suggested emails for outreach
ELEGOO,Consumer / prosumer resin/FDM,Customer support / order / technical / after-sales,,,Global,Official contact page routes support through a form.,High,Official company page,https://www.elegoo.com/pages/contact-us,marketing@elegoo.com; info@elegoo.com
ELEGOO,Consumer / prosumer resin/FDM,General / lifetime support,info@elegoo.com,,Global,Official homepage/support text lists lifetime support email.,High,Official company page,https://www.elegoo.com/,marketing@elegoo.com; info@elegoo.com
Flashforge,Consumer / prosumer FDM/resin,Sales,customer@flashforge.com,+86 57982273989,Global / China,Official contact page lists phone and sales email.,High,Official company page,https://flashforge.com/pages/contact-us,mkt2@flashforge.com; tongtong.shi@flashforge.com; customer@flashforge.com
Flashforge,Consumer / prosumer FDM/resin,Technical support,support@flashforge.com,+86 57982273989,Global / China,Official contact page lists online technology support email.,High,Official company page,https://flashforge.com/pages/contact-us,mkt2@flashforge.com; tongtong.shi@flashforge.com; customer@flashforge.com
Flashforge,Consumer / prosumer FDM/resin,Marketing / suggestions / complaints,mkt2@flashforge.com,+86 57982273989,Global / China,Official contact page lists marketing and suggestion/complaint contact.,High,Official company page,https://flashforge.com/pages/contact-us,mkt2@flashforge.com; tongtong.shi@flashforge.com; customer@flashforge.com
Flashforge,Consumer / prosumer FDM/resin,Distributor application,info@flashforge.com,,Global,Official distributor application page.,High,Official company page,https://flashforge.com/pages/distributor-application,mkt2@flashforge.com; tongtong.shi@flashforge.com; customer@flashforge.com
Flashforge,Consumer / prosumer FDM/resin,Product/general inquiries,002@flashforge.com,,EU / UK,Listed on official regional pages.,High,Official company page,https://flashforge.com/pages/contact-us,mkt2@flashforge.com; tongtong.shi@flashforge.com; customer@flashforge.com
Flashforge,Consumer / prosumer FDM/resin,Affiliate manager,tongtong.shi@flashforge.com,,Global,Official affiliate page lists named public contact.,High,Official program page,https://flashforge.com/pages/affiliate-program,mkt2@flashforge.com; tongtong.shi@flashforge.com; customer@flashforge.com
QIDI Tech,Consumer / prosumer FDM,General office / phone,,0086-577-66881077,China / global,Official contact page lists phone and hours.,High,Official company page,https://us.qidi3d.com/pages/contact-us,Chloe@qd3dprinter.com; Max4support@qidi3d.com; Q2support@qidi3d.com; Plus4support@qidi3d.com; Q1support@qidi3d.com; Max3support@qd3Dprinter.com; Plus3support01@qd3Dprinter.com; Smart3support@qd3dprinter.com; may@qd3dprinter.com; linda@qd3dprinter.com; sophia@qd3dprinter.com; lisa@qd3dprinter.com
QIDI Tech,Consumer / prosumer FDM,Social media & influencer,Chloe@qd3dprinter.com,,Global,Official contact page lists named department contact.,High,Official company page,https://us.qidi3d.com/pages/contact-us,Chloe@qd3dprinter.com; Max4support@qidi3d.com; Q2support@qidi3d.com; Plus4support@qidi3d.com; Q1support@qidi3d.com; Max3support@qd3Dprinter.com; Plus3support01@qd3Dprinter.com; Smart3support@qd3dprinter.com; may@qd3dprinter.com; linda@qd3dprinter.com; sophia@qd3dprinter.com; lisa@qd3dprinter.com
QIDI Tech,Consumer / prosumer FDM,Agency cooperation / reseller,tim@qidi3d.com,,Global,Official US contact page lists reseller contact.,High,Official company page,https://us.qidi3d.com/pages/contact-us,Chloe@qd3dprinter.com; Max4support@qidi3d.com; Q2support@qidi3d.com; Plus4support@qidi3d.com; Q1support@qidi3d.com; Max3support@qd3Dprinter.com; Plus3support01@qd3Dprinter.com; Smart3support@qd3dprinter.com; may@qd3dprinter.com; linda@qd3dprinter.com; sophia@qd3dprinter.com; lisa@qd3dprinter.com
QIDI Tech,Consumer / prosumer FDM,Order support,lexie@qd3dprinter.com,,Global,Official US contact page lists order support.,High,Official company page,https://us.qidi3d.com/pages/contact-us,Chloe@qd3dprinter.com; Max4support@qidi3d.com; Q2support@qidi3d.com; Plus4support@qidi3d.com; Q1support@qidi3d.com; Max3support@qd3Dprinter.com; Plus3support01@qd3Dprinter.com; Smart3support@qd3dprinter.com; may@qd3dprinter.com; linda@qd3dprinter.com; sophia@qd3dprinter.com; lisa@qd3dprinter.com
QIDI Tech,Consumer / prosumer FDM,Delivery issues,Clark@qidi3d.com; Clarence@qd3dprinter.com,,Global,Official US contact page lists delivery contacts.,High,Official company page,https://us.qidi3d.com/pages/contact-us,Chloe@qd3dprinter.com; Max4support@qidi3d.com; Q2support@qidi3d.com; Plus4support@qidi3d.com; Q1support@qidi3d.com; Max3support@qd3Dprinter.com; Plus3support01@qd3Dprinter.com; Smart3support@qd3dprinter.com; may@qd3dprinter.com; linda@qd3dprinter.com; sophia@qd3dprinter.com; lisa@qd3dprinter.com
QIDI Tech,Consumer / prosumer FDM,Suggestions / feedback,Karl@qd3dprinter.com,,Global,Official US contact page lists feedback contact.,High,Official company page,https://us.qidi3d.com/pages/contact-us,Chloe@qd3dprinter.com; Max4support@qidi3d.com; Q2support@qidi3d.com; Plus4support@qidi3d.com; Q1support@qidi3d.com; Max3support@qd3Dprinter.com; Plus3support01@qd3Dprinter.com; Smart3support@qd3dprinter.com; may@qd3dprinter.com; linda@qd3dprinter.com; sophia@qd3dprinter.com; lisa@qd3dprinter.com
QIDI Tech,Consumer / prosumer FDM,Model-specific support,Max4support@qidi3d.com; Q2support@qidi3d.com; Plus4support@qidi3d.com; Q1support@qidi3d.com; Max3support@qd3Dprinter.com; Plus3support01@qd3Dprinter.com; Smart3support@qd3dprinter.com; may@qd3dprinter.com; linda@qd3dprinter.com; sophia@qd3dprinter.com; lisa@qd3dprinter.com,,Global,Official after-sales page lists model-specific support addresses; full list compressed here.,High,Official company page,https://us.qidi3d.com/pages/after-sales,Chloe@qd3dprinter.com; Max4support@qidi3d.com; Q2support@qidi3d.com; Plus4support@qidi3d.com; Q1support@qidi3d.com; Max3support@qd3Dprinter.com; Plus3support01@qd3Dprinter.com; Smart3support@qd3dprinter.com; may@qd3dprinter.com; linda@qd3dprinter.com; sophia@qd3dprinter.com; lisa@qd3dprinter.com
FLSUN,Consumer / prosumer delta FDM,Order / customer support / after-sales,service@flsun3d.com,,Global,Official contact/wiki support pages.,High,Official company page,https://flsun3d.com/pages/contact-us,affiliates@flsun3d.com; service@flsun3d.com; contact@flsun3d.com
FLSUN,Consumer / prosumer delta FDM,Complaints,complaint@flsun3d.com,,Global,Official warranty statement lists complaint email.,High,Official company page,https://flsun3d.com/pages/warranty-return,affiliates@flsun3d.com; service@flsun3d.com; contact@flsun3d.com
FLSUN,Consumer / prosumer delta FDM,KOL / Media,affiliates@flsun3d.com,,Global,Official warranty/contact statement lists KOL/Media email.,High,Official company page,https://flsun3d.com/pages/warranty-return,affiliates@flsun3d.com; service@flsun3d.com; contact@flsun3d.com
FLSUN,Consumer / prosumer delta FDM,Corporate subscription / distributor cooperation,flsun@flsun3d.com,,Global,Official warranty/contact statement.,High,Official company page,https://flsun3d.com/pages/warranty-return,affiliates@flsun3d.com; service@flsun3d.com; contact@flsun3d.com
FLSUN,Consumer / prosumer delta FDM,Cooperation / service provider partnerships,contact@flsun3d.com,,Global,Official cooperation/service provider pages.,High,Official company page,https://flsun3d.com/pages/partner-with-us,affiliates@flsun3d.com; service@flsun3d.com; contact@flsun3d.com
FLSUN,Consumer / prosumer delta FDM,After-sales Skype,,Skype: live:.cid.ec23288db32a3b7,Global,Official wiki lists Skype support handle.,High,Official support wiki,https://wiki.flsun3d.com/,affiliates@flsun3d.com; service@flsun3d.com; contact@flsun3d.com
Sovol,Consumer / prosumer FDM,General support/help,info@sovol3d.com,,Global,Official Sovol forum/blog pages list support/help email; no central official contact page found in retrieved results.,Medium,Official forum/blog,https://forum.sovol3d.com/,sale@sovol3d.com; info@sovol3d.com
Sovol,Consumer / prosumer FDM,Sales support,sale@sovol3d.com,,Global,Listed in official forum support response; verify before use.,Medium,Official forum,https://forum.sovol3d.com/,sale@sovol3d.com; info@sovol3d.com
Snapmaker,Consumer / prosumer modular FDM/CNC/laser,Pre-sales / logistics / general,info@snapmaker.com,,Global,Official contact page.,High,Official company page,https://www.snapmaker.com/pages/contact-us,social@snapmaker.com; press@snapmaker.com; info@snapmaker.com
Snapmaker,Consumer / prosumer modular FDM/CNC/laser,Technical support,support@snapmaker.com,,Global,Official contact page.,High,Official company page,https://www.snapmaker.com/pages/contact-us,social@snapmaker.com; press@snapmaker.com; info@snapmaker.com
Snapmaker,Consumer / prosumer modular FDM/CNC/laser,News / media / events,press@snapmaker.com,,Global,Official contact/cooperation page.,High,Official company page,https://www.snapmaker.com/pages/contact-us,social@snapmaker.com; press@snapmaker.com; info@snapmaker.com
Snapmaker,Consumer / prosumer modular FDM/CNC/laser,YouTube / TikTok influencers / affiliate,affiliate@snapmaker.com,,Global,Official cooperation/affiliate pages.,High,Official company page,https://www.snapmaker.com/pages/cooperation,social@snapmaker.com; press@snapmaker.com; info@snapmaker.com
Snapmaker,Consumer / prosumer modular FDM/CNC/laser,Social media content partner,social@snapmaker.com,,Global,Official cooperation page.,High,Official company page,https://www.snapmaker.com/pages/cooperation,social@snapmaker.com; press@snapmaker.com; info@snapmaker.com
Snapmaker,Consumer / prosumer modular FDM/CNC/laser,Community,community@snapmaker.com,,Global,Official community challenge page.,High,Official company page,https://www.snapmaker.com/pages/community,social@snapmaker.com; press@snapmaker.com; info@snapmaker.com
Raise3D,Professional / prosumer FDM,US Direct Sales,salesadmin@raise3d.us,1 888-963-9028,United States,Official contact page.,High,Official company page,https://www.raise3d.com/contact/,press@raise3d.com; enquiry@raise3d.eu; sales@raise3d.com; inquiry@raise3d.com
Raise3D,Professional / prosumer FDM,Europe sales / info,enquiry@raise3d.eu,+31 (0)6 23872606,Europe,Official contact page.,High,Official company page,https://www.raise3d.com/contact/,press@raise3d.com; enquiry@raise3d.eu; sales@raise3d.com; inquiry@raise3d.com
Raise3D,Professional / prosumer FDM,Press,press@raise3d.com,,Global,Official contact/press pages.,High,Official company page,https://www.raise3d.com/contact/,press@raise3d.com; enquiry@raise3d.eu; sales@raise3d.com; inquiry@raise3d.com
Raise3D,Professional / prosumer FDM,Careers,careers@raise3d.eu,,Europe,Official contact page.,High,Official company page,https://www.raise3d.com/contact/,press@raise3d.com; enquiry@raise3d.eu; sales@raise3d.com; inquiry@raise3d.com
Raise3D,Professional / prosumer FDM,General sales / other inquiries,sales@raise3d.com; inquiry@raise3d.com,,Global,Listed in official quick start guide/resources.,High,Official documentation,https://support.raise3d.com/,press@raise3d.com; enquiry@raise3d.eu; sales@raise3d.com; inquiry@raise3d.com
Raise3D,Professional / prosumer FDM,Open Filament Program,ofp@raise3d.com,,Global,Official OFP page.,High,Official company page,https://www.raise3d.com/ofp/,press@raise3d.com; enquiry@raise3d.eu; sales@raise3d.com; inquiry@raise3d.com
Phrozen,Consumer / prosumer resin,Technical support,support@phrozen3d.com,,EU/global,Official EU contact page lists support email.,High,Official company page,https://eu.phrozen3d.com/pages/contact-us,business.americas@phrozen3d.com; support@phrozen3d.com; info@phrozen3d.com
Phrozen,Consumer / prosumer resin,Orders / shipment / inventory,info@phrozen3d.com,,EU/global,Official EU contact page lists order/inventory email.,High,Official company page,https://eu.phrozen3d.com/pages/contact-us,business.americas@phrozen3d.com; support@phrozen3d.com; info@phrozen3d.com
Phrozen,Consumer / prosumer resin,Business inquiry - Americas,business.americas@phrozen3d.com,,Americas,Official business inquiry page lists regional emails; Americas visible in retrieved source.,High,Official company page,https://phrozen3d.com/pages/business-inquiry,business.americas@phrozen3d.com; support@phrozen3d.com; info@phrozen3d.com
Peopoly,Professional / prosumer resin/FDM,General contact,contact@peopoly.net,,Global / Hong Kong,Official contact page.,High,Official company page,https://peopoly.net/pages/contact,contact@peopoly.net; support@peopoly.net
Peopoly,Professional / prosumer resin/FDM,Support,support@peopoly.net,,Global / Hong Kong,Official contact page.,High,Official company page,https://peopoly.net/pages/contact,contact@peopoly.net; support@peopoly.net
UniFormation,Consumer / prosumer resin,Customer/order support,order@uniformation3d.com,,Global,Official contact page.,High,Official company page,https://uniformation3d.com/pages/contact-us,Marketing@uniformation3d.com; sales01@uniformation3d.com; order@uniformation3d.com
UniFormation,Consumer / prosumer resin,Technical support,support@uniformation3d.com,,Global,Official contact page.,High,Official company page,https://uniformation3d.com/pages/contact-us,Marketing@uniformation3d.com; sales01@uniformation3d.com; order@uniformation3d.com
UniFormation,Consumer / prosumer resin,Influencer & Media / corporate,Marketing@uniformation3d.com,,Global,Official contact page.,High,Official company page,https://uniformation3d.com/pages/contact-us,Marketing@uniformation3d.com; sales01@uniformation3d.com; order@uniformation3d.com
UniFormation,Consumer / prosumer resin,Distributor,sales01@uniformation3d.com,,Global,Official contact page.,High,Official company page,https://uniformation3d.com/pages/contact-us,Marketing@uniformation3d.com; sales01@uniformation3d.com; order@uniformation3d.com
HeyGears,Professional / dental resin,Global service,contact@heygears.com,+1 318-353-4295,Global / US,Official contact/store pages list global service and support emails.,High,Official company page,https://www.heygears.com/pages/contact-us,sales@heygears.com; lwang@heygears.com; info@heygears.com
HeyGears,Professional / dental resin,Technical support,customersupport@heygears.com,+1 949-283-2998 (WhatsApp US),US/global,Official store contact lists support email and WhatsApp.,High,Official company page,https://store.heygears.com/pages/contact-us,sales@heygears.com; lwang@heygears.com; info@heygears.com
HeyGears,Professional / dental resin,Business development,sales@heygears.com,+1 949-418-9418,USA,Official contact page lists BD/sales and USA service number.,High,Official company page,https://www.heygears.com/pages/contact-us,sales@heygears.com; lwang@heygears.com; info@heygears.com
HeyGears,Professional / dental resin,Europe service,,+49 211 93598403,Europe,Official contact page lists Europe service number.,High,Official company page,https://www.heygears.com/pages/contact-us,sales@heygears.com; lwang@heygears.com; info@heygears.com
HeyGears,Professional / dental resin,HR,hr@heygears.com,,Global,Official contact page lists HR email.,High,Official company page,https://www.heygears.com/pages/contact-us,sales@heygears.com; lwang@heygears.com; info@heygears.com
HeyGears,Professional / dental resin,Suggestion / general,info@heygears.com,,Global,Official contact page lists suggestion email.,High,Official company page,https://www.heygears.com/pages/contact-us,sales@heygears.com; lwang@heygears.com; info@heygears.com
HeyGears,Professional / dental resin,Distributor / partnership,lwang@heygears.com,,Global,Official store/contact support page lists distributor contact.,High,Official company page,https://store.heygears.com/pages/contact-us,sales@heygears.com; lwang@heygears.com; info@heygears.com
MINGDA,Consumer / prosumer FDM,Technical support,support@3dmingda.com,,Global / China,Official support center/store page.,High,Official company page,https://www.3dmingdaofficial.com/pages/support,info@3dmingda.com; market@3dmingda.com; support@3dmingda.com
MINGDA,Consumer / prosumer FDM,Pre-sales / logistics,market@3dmingda.com,,Global / China,Official store contact page.,High,Official company page,https://3dmingdaofficial.com/pages/contact-us,info@3dmingda.com; market@3dmingda.com; support@3dmingda.com
MINGDA,Consumer / prosumer FDM,Distributor / general info,info@3dmingda.com,,Global / China,Official distributor info page.,High,Official company page,https://3dmingdaofficial.com/pages/distributor,info@3dmingda.com; market@3dmingda.com; support@3dmingda.com
LulzBot,Professional / prosumer FDM,Support,support@lulzbot.com,+1-701-809-0800 ext 2,United States,Official contact/support pages.,High,Official company page,https://lulzbot.com/contact-us,press@LulzBot.com; support@lulzbot.com
LulzBot,Professional / prosumer FDM,Press / marketing,press@LulzBot.com,,United States,Official press page.,High,Official company page,https://lulzbot.com/press,press@LulzBot.com; support@lulzbot.com
BCN3D,Professional / prosumer FDM,Sales,sales@bcn3d.com,+34 935 95 43 43,Europe / global,Official contact/reseller pages.,High,Official company page,https://www.bcn3d.com/contact-us/,press@bcn3d.com; dmartinez@bcn3d.com; sales@bcn3d.com
BCN3D,Professional / prosumer FDM,Press,press@bcn3d.com,+34 935 95 43 43,Global,Official contact/pressroom page.,High,Official company page,https://www.bcn3d.com/press/,press@bcn3d.com; dmartinez@bcn3d.com; sales@bcn3d.com
BCN3D,Professional / prosumer FDM,PR manager / press,dmartinez@bcn3d.com,+34 935 95 43 43,Global,Listed on BCN3D press/category pages as press contact; named public contact.,High,Official press page,https://www.bcn3d.com/press/,press@bcn3d.com; dmartinez@bcn3d.com; sales@bcn3d.com
eufyMake / AnkerMake,Consumer 3D printer / craft hardware,Media,pr@anker.com,,Global,Official eufyMake contact page lists media email. AnkerMake was rebranded to eufyMake in 2025.,High,Official company page,https://www.eufymake.com/pages/contact-us,pr@anker.com; support@eufymake.com; support@anker.com
eufyMake / AnkerMake,Consumer 3D printer / craft hardware,Support,support@eufymake.com,,US/UK/CA/global,Official eufyMake contact/service pages list support email.,High,Official company page,https://www.eufymake.com/pages/contact-us,pr@anker.com; support@eufymake.com; support@anker.com
eufyMake / AnkerMake,Consumer 3D printer / craft hardware,Regional support - Japan,support@anker.com,,Japan,Official eufyMake contact page lists regional support emails.,High,Official company page,https://www.eufymake.com/pages/contact-us,pr@anker.com; support@eufymake.com; support@anker.com
eufyMake / AnkerMake,Consumer 3D printer / craft hardware,Regional support - Middle East & Africa,support.mea@anker.com,,MEA,Official eufyMake contact page lists regional support emails.,High,Official company page,https://www.eufymake.com/pages/contact-us,pr@anker.com; support@eufymake.com; support@anker.com
eufyMake / AnkerMake,Consumer 3D printer / craft hardware,Regional support - China,CED-CN@anker.com,,China,Official eufyMake contact page lists regional support emails.,High,Official company page,https://www.eufymake.com/pages/contact-us,pr@anker.com; support@eufymake.com; support@anker.com
eufyMake / AnkerMake,Consumer 3D printer / craft hardware,Regional support - India,Support.india@anker.com,,India,Official eufyMake contact page lists regional support emails.,High,Official company page,https://www.eufymake.com/pages/contact-us,pr@anker.com; support@eufymake.com; support@anker.com
Monoprice,Consumer / prosumer private-label 3D printers,Customer service / technical support / returns / corporate,,1 (877) 271-2592,United States,Official contact page routes categories via forms; newsroom/accessibility page lists support phone.,High,Official company page,https://www.monoprice.com/help?pn=contact,MPB2Bsales@monoprice.com
Monoprice,Consumer / prosumer private-label 3D printers,B2B sales,MPB2Bsales@monoprice.com,909-296-7116,United States,Official B2B/corporate page.,High,Official company page,https://www.monoprice.com/pages/b2b,MPB2Bsales@monoprice.com
Artillery3D,Consumer / prosumer FDM,Technical/customer support,support@artillery3d.com,,Global,Official contact/customer service pages.,High,Official company page,https://artillery3d.com/pages/contact-us,marketing@artillery3d.com; artillery3d@hotmail.com; info@artillery3d.com
Artillery3D,Consumer / prosumer FDM,Order problems / corporate sales,artillery3d@hotmail.com,,Global,Official contact page lists order/corporate sales email.,High,Official company page,https://artillery3d.com/pages/contact-us,marketing@artillery3d.com; artillery3d@hotmail.com; info@artillery3d.com
Artillery3D,Consumer / prosumer FDM,Influencer & Media,marketing@artillery3d.com,,Global,Official contact page.,High,Official company page,https://artillery3d.com/pages/contact-us,marketing@artillery3d.com; artillery3d@hotmail.com; info@artillery3d.com
Artillery3D,Consumer / prosumer FDM,General,info@artillery3d.com,,Global / US registered address,Official customer service policy.,High,Official company page,https://artillery3d.com/pages/customer-service,marketing@artillery3d.com; artillery3d@hotmail.com; info@artillery3d.com
Tronxy,Consumer / prosumer FDM/resin,Commercial inquiries,info@tronxy.com,+86 755 8996 8500,Global / China,Official contact pages.,High,Official company page,https://www.tronxy.com/contact-us/,support@tronxy.com; Dyran@tronxy.com; info@tronxy.com
Tronxy,Consumer / prosumer FDM/resin,After-sales / technical support,support@tronxy.com,+86 755 8996 8500,Global / China,Official contact pages.,High,Official company page,https://www.tronxy.com/contact-us/,support@tronxy.com; Dyran@tronxy.com; info@tronxy.com
Tronxy,Consumer / prosumer FDM/resin,Pre-sale,monica@tronxy.com,0086-755-89968500,Global / China,Official store/contact page.,High,Official company page,https://www.tronxy3dprinter.com/pages/contact-us,support@tronxy.com; Dyran@tronxy.com; info@tronxy.com
Tronxy,Consumer / prosumer FDM/resin,Business cooperation/inquiry,Dyran@tronxy.com,,Global / China,Official mobile/contact page.,High,Official company page,https://m.tronxyonline.com/contact-us-a0084.html,support@tronxy.com; Dyran@tronxy.com; info@tronxy.com
Kingroon,Consumer / prosumer FDM,General store/support,shop@kingroon.com,,Global / China,Official contact/warranty pages.,High,Official company page,https://kingroon.com/pages/contact-us,shop@kingroon.com; zhengkaitao@kingroon.com; shop@kingroon3d.com
Kingroon,Consumer / prosumer FDM,Corporate sales,zhengkaitao@kingroon.com,,Global / China,Official contact page.,High,Official company page,https://kingroon.com/pages/contact-us,shop@kingroon.com; zhengkaitao@kingroon.com; shop@kingroon3d.com
Kingroon,Consumer / prosumer FDM,Alternate official support/store,shop@kingroon3d.com,,Global / China,Alternate official Kingroon3D site.,High,Official company page,https://kingroon3d.com/pages/contact-us,shop@kingroon.com; zhengkaitao@kingroon.com; shop@kingroon3d.com
Voxelab,Consumer / prosumer FDM/resin,Support,support@voxelab3dp.com,,Global,Listed in official Voxelab Aquila manual/PDF; current direct contact page not found in retrieved results.,Medium,Official manual,https://www.voxelab3dp.com/download,support@voxelab3dp.com
Airwolf 3D,Professional / prosumer FDM,General,info@airwolf3d.com,(949) 478-2933,United States,Official contact page.,High,Official company page,https://airwolf3d.com/contact/,sales@airwolf3d.com; info@airwolf3d.com
Airwolf 3D,Professional / prosumer FDM,Sales,sales@airwolf3d.com,(949) 478-2933,United States,Official contact page.,High,Official company page,https://airwolf3d.com/contact/,sales@airwolf3d.com; info@airwolf3d.com
Airwolf 3D,Professional / prosumer FDM,Tech support,,,United States,Official contact page routes tech support through a ticket.,High,Official company page,https://airwolf3d.com/contact/,sales@airwolf3d.com; info@airwolf3d.com
Formlabs,Professional desktop SLA/SLS,Press,press@formlabs.com,,Global,Official press page.,High,Official company page,https://formlabs.com/company/press/,press@formlabs.com
Formlabs,Professional desktop SLA/SLS,Sales/contact - US & Canada,,+1 833 489 0545,US / Canada,Official contact page phone.,High,Official company page,https://formlabs.com/contact/,press@formlabs.com
Formlabs,Professional desktop SLA/SLS,Sales/contact - Germany/Austria/Switzerland,,+49 30 5200 6329,DACH,Official contact page phone.,High,Official company page,https://formlabs.com/contact/,press@formlabs.com
Formlabs,Professional desktop SLA/SLS,Sales/contact - UK,,+44 8081 341875,UK,Official contact page phone.,High,Official company page,https://formlabs.com/contact/,press@formlabs.com
Formlabs,Professional desktop SLA/SLS,Sales/contact - France,,+33 8 01 84 16 58,France,Official contact page phone.,High,Official company page,https://formlabs.com/contact/,press@formlabs.com
Formlabs,Professional desktop SLA/SLS,Sales/contact - Italy,,+39 80 093 4189,Italy,Official contact page phone.,High,Official company page,https://formlabs.com/contact/,press@formlabs.com
Formlabs,Professional desktop SLA/SLS,Dental sales/support/press/jobs,,,Global,"Official dental contact page routes sales, support, press, and jobs via forms/links.",High,Official company page,https://dental.formlabs.com/contact/,press@formlabs.com
UltiMaker,Professional / prosumer FDM,General / support / sales / media,,,Global,"Official contact pages route purchase orders, support, privacy, media/press/sponsorship, and general inquiries through web forms/buttons; direct emails not visible in retrieved official text.",High,Official company page,https://ultimaker.com/contact/,
UltiMaker,Professional / prosumer FDM,Support,,,Global,Official contact page points to support knowledge base/form.,High,Official company page,https://support.makerbot.com/s/contactsupport,
Markforged,Industrial composite/metal FDM,Sales - North & South America,NAsales@markforged.com,1-866-496-1805,Americas,Official contact/homepage list sales emails and phone.,High,Official company page,https://markforged.com/contact,press@markforged.com; investors@markforged.com; NAsales@markforged.com
Markforged,Industrial composite/metal FDM,Sales - APAC,APACsales@markforged.com,1-866-496-1805,APAC,Official contact/homepage list sales emails and phone.,High,Official company page,https://markforged.com/contact,press@markforged.com; investors@markforged.com; NAsales@markforged.com
Markforged,Industrial composite/metal FDM,Sales - EMEA,EMEAsales@markforged.com,1-866-496-1805,EMEA,Official contact/homepage list sales emails and phone.,High,Official company page,https://markforged.com/contact,press@markforged.com; investors@markforged.com; NAsales@markforged.com
Markforged,Industrial composite/metal FDM,Press / media,press@markforged.com,,Global,Official press/media pages.,High,Official company page,https://markforged.com/about/press,press@markforged.com; investors@markforged.com; NAsales@markforged.com
